""	"Código de cor"	""	"Comprimento (mm)"	""	"Destino"	"Seção"	""	"Destino"	""	""	""	""	""	
""	""	"GND"	         0	"B3"	"B3"	""	"B3"	"B3"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B3"	"B3"	""	"B3"	"B3"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B3"	"H2"	""	"B3"	"H2"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B7"	"B7"	""	"B7"	"B7"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B7"	"B7"	""	"B7"	"B7"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B7"	"B8"	""	"B7"	"B8"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B8"	"B8"	""	"B8"	"B8"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B8"	"B8"	""	"B8"	"B8"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B8"	"K9"	""	"B8"	"K9"	"L1"	"L1"	""	""	""	
"GND"	""	"GND"	         0	"K1"	"K2"	""	"K1"	"K2"	"L1"	"L1"	""	""	"GND"	
"GND"	""	"GND"	         0	"-J4:A2"	"K1"	""	"J4"	"K1"	"L1"	"L1"	"A2"	""	"GND"	
"GND"	""	"GND"	         0	"G1"	"-J4:A2"	""	"G1"	"J4"	"L1"	"L1"	""	"A2"	"GND"	
""	"RD"	"N L1 L2 L3"	         0	"Q2"	"T1"	""	"Q2"	"T1"	"L1"	"L1"	""	""	""	
""	"RD"	"N L1 L2 L3"	         0	"Q4"	"T1"	""	"Q4"	"T1"	"L1"	"L1"	""	""	""	
""	"OG"	"N L1 L2 L3"	         0	"J5"	"J5"	""	"J5"	"J5"	"L1"	"L1"	""	""	""	
""	"OG"	"N L1 L2 L3"	         0	"J5"	"T1"	""	"J5"	"T1"	"L1"	"L1"	""	""	""	
""	"GNYE"	"N L1 L2 L3"	         0	"J5"	"M3"	""	"J5"	"M3"	"L1"	"L1"	""	""	""	
""	"RD"	"N L1 L2 L3"	         0	"J5"	"M3"	""	"J5"	"M3"	"L1"	"L1"	""	""	""	
""	"OG"	"N L1 L2 L3"	         0	"J5"	"M3"	""	"J5"	"M3"	"L1"	"L1"	""	""	""	
""	"BN"	"N L1 L2 L3"	         0	"J5"	"M3"	""	"J5"	"M3"	"L1"	"L1"	""	""	""	
""	"RD"	"N L1 L2 L3"	         0	"J6"	"J6"	""	"J6"	"J6"	"L1"	"L1"	""	""	""	
""	"RD"	"N L1 L2 L3"	         0	"J6"	"T1"	""	"J6"	"T1"	"L1"	"L1"	""	""	""	
""	"RD"	"N L1 L2 L3"	         0	"J5"	"J5"	""	"J5"	"J5"	"L1"	"L1"	""	""	""	
""	"RD"	"N L1 L2 L3"	         0	"J5"	"T1"	""	"J5"	"T1"	"L1"	"L1"	""	""	""	
""	"RD"	"N L1 L2 L3"	         0	"Q3"	"T1"	""	"Q3"	"T1"	"L1"	"L1"	""	""	""	
""	"OG"	"N L1 L2 L3"	         0	"J6"	"J6"	""	"J6"	"J6"	"L1"	"L1"	""	""	""	
""	"OG"	"N L1 L2 L3"	         0	"J6"	"T1"	""	"J6"	"T1"	"L1"	"L1"	""	""	""	
""	"GNYE"	"N L1 L2 L3"	         0	"J6"	"M4"	""	"J6"	"M4"	"L1"	"L1"	""	""	""	
""	"RD"	"N L1 L2 L3"	         0	"J6"	"M4"	""	"J6"	"M4"	"L1"	"L1"	""	""	""	
""	"OG"	"N L1 L2 L3"	         0	"J6"	"M4"	""	"J6"	"M4"	"L1"	"L1"	""	""	""	
""	"BN"	"N L1 L2 L3"	         0	"J6"	"M4"	""	"J6"	"M4"	"L1"	"L1"	""	""	""	
"L1-3"	"RD"	"N L1 L2 L3"	         0	"F1"	"Q1"	""	"F1"	"Q1"	"L2"	"L1"	""	""	"L1-3"	
"L1-9"	"RD"	"N L1 L2 L3"	         0	"G1"	"05-Q3"	""	"G1"	"05-Q3"	"L1"	"L1"	""	""	"L1-9"	
"L1-4"	"RD"	"N L1 L2 L3"	         0	"M1"	"Q1"	""	"M1"	"Q1"	"L1"	"L1"	""	""	"L1-4"	
"L1-2"	"RD"	"N L1 L2 L3"	         0	"F1"	"X1-2"	""	"F1"	"2"	"L2"	"L1"	""	""	"L1-2"	
"L1-4"	"RD"	"N L1 L2 L3"	         0	"Q1"	"H1"	""	"Q1"	"H1"	"L1"	"L2"	""	""	"L1-4"	
"N -2"	"BU"	"N L1 L2 L3"	         0	"X1-1"	"H1"	""	"1"	"H1"	"L1"	"L2"	""	""	"N -2"	
			0.00											
